lead_id,customer_summary,agent_summary,stage
572,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
573,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
574,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
575,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
576,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
577,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
578,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
579,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
580,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
581,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
582,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
583,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
584,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
585,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
586,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
587,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
588,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
589,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
590,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
591,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
592,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
593,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
594,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
595,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
596,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
597,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
598,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
599,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
600,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
601,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
602,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
603,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
604,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
605,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
606,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
607,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
608,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
609,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
610,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
611,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
612,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
613,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
614,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
615,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
616,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
617,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
618,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
619,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
620,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
621,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
622,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
623,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
624,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
625,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
626,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
627,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
628,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
629,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
630,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
631,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
632,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
633,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
634,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
635,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
636,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
637,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
638,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
639,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
640,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
641,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
642,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
643,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
644,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
645,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
646,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
647,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
648,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
649,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
650,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
651,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
652,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
653,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
654,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
655,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
656,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
657,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
658,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
659,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
660,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
661,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
662,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
663,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
664,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
665,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
666,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
667,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
668,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
669,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
670,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
671,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
672,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
673,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
674,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
675,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
676,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
677,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
678,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
679,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
680,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
681,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
682,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
683,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
684,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
685,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
686,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
687,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
688,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
689,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
690,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
691,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
692,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
693,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
694,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
695,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
696,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
697,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
698,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
699,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
700,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
701,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
702,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
703,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
704,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
705,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
706,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
707,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
708,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
709,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
710,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
711,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
712,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
713,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
714,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
715,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
716,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
717,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
718,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
719,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
720,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
721,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
722,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
723,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
724,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
725,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
726,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
727,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
728,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
729,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
730,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
731,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
732,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
733,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
734,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
735,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
736,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
737,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
738,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
739,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
740,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
741,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
742,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
743,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
744,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
745,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
746,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
747,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
748,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
749,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
750,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
751,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
752,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
753,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
754,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
755,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
756,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
757,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
758,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
759,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
760,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
761,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
762,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
763,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
764,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
765,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
766,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
767,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
768,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
769,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
770,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
771,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
772,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
773,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
774,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
775,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
776,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
777,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
778,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
779,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
780,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
781,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
782,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
783,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
784,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
785,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
786,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
787,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
788,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
789,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
790,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
791,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
792,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
793,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
794,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
795,Asked if they could be seen for a consultation about a new patient exam and a treatment plan.,Scheduled them for a new patient exam and noted their request for a treatment plan.,2
796,Inquired about the cost of a full set of veneers and asked to see before-and-after photos.,Provided a cost estimate for the veneers and directed them to the clinic's online gallery.,2
797,Called to confirm the clinic's location and parking availability.,"Gave the address and detailed where the parking lot was located, but did not discuss treatment.",0
798,Asked about the cost of a dental cleaning for two people and if they had a family discount.,Provided the total cost for two cleanings and explained the family discount they offer for new patients.,2
799,Expressed interest in getting a new set of dentures because their old ones were uncomfortable.,Scheduled them for a denture consultation to get custom-fitted dentures that would be more comfortable.,2
800,Had a question about the cost of a single dental implant and if they had payment plans.,Provided a cost range for the implant and explained the financing options available at the clinic.,2
801,Called to ask about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two and provided a price comparison for both services.,1
802,Inquired about the cost of a full set of dentures and whether they can be made to look natural.,Gave a cost estimate for the dentures and emphasized their use of high-quality materials for a natural look.,2
803,Stated they had a sudden toothache and asked for an emergency appointment.,Found an immediate opening to see the dentist for an assessment.,2
804,Expressed interest in getting a brighter smile but was unsure about the process of professional whitening.,Walked them through the in-office whitening procedure and addressed their concerns about sensitivity.,1
805,Asked to book a new patient exam and check-up for themselves and their child.,Scheduled two new patient appointments and confirmed the details.,2
806,Had a general question about their insurance and if a specific procedure would be covered.,Offered to verify their insurance benefits and provide a breakdown of what would be covered.,1
807,Called to get a quote for a dental filling for a chipped tooth.,Provided an estimated cost for the filling and suggested they book an exam for a precise quote.,1
808,Inquired about the cost of a wisdom tooth extraction and if they offer sedation.,Gave a price range for the extraction and confirmed they offer various sedation options.,1
809,Stated they had a broken crown and needed to get it fixed as soon as possible.,Prioritized their situation and found an urgent appointment slot for the crown repair.,2
